sep=, 
timestamp, positionX , positionY , positionZ , orientationX , orientationY , orientationZ 
175.349000000,-3.93265e-05,-5.065e-05,-0.00100754,8.06895e-06,-0.0014929,2.26229e-05
175.359000000,-4.06593e-05,-5.19768e-05,-0.00100768,8.06965e-06,-0.00148597,2.3148e-05
175.369000000,-4.18187e-05,-5.33039e-05,-0.0010078,8.06974e-06,-0.00148011,2.36588e-05
175.379000000,-4.28892e-05,-5.46315e-05,-0.00100786,8.06966e-06,-0.00147707,2.41644e-05
175.389000000,-4.39662e-05,-5.59594e-05,-0.00100786,8.0698e-06,-0.00147723,2.46736e-05
175.399000000,-4.51211e-05,-5.72875e-05,-0.00100781,8.0704e-06,-0.00147982,2.51918e-05
175.409000000,-4.63832e-05,-5.86155e-05,-0.00100773,8.07149e-06,-0.00148341,2.57204e-05
175.419000000,-4.77388e-05,-5.99434e-05,-0.00100767,8.07291e-06,-0.00148658,2.62568e-05
175.429000000,-4.91459e-05,-6.12711e-05,-0.00100763,8.07443e-06,-0.00148835,2.67965e-05
175.439000000,-5.05545e-05,-6.25986e-05,-0.00100763,8.07585e-06,-0.00148845,2.73349e-05
175.449000000,-5.19256e-05,-6.3926e-05,-0.00100766,8.07704e-06,-0.00148721,2.78687e-05
175.458000000,-5.32415e-05,-6.52534e-05,-0.00100769,8.07796e-06,-0.00148537,2.83973e-05
175.469000000,-5.45071e-05,-6.6581e-05,-0.00100773,8.0787e-06,-0.00148368,2.89216e-05
175.479000000,-5.57433e-05,-6.79086e-05,-0.00100775,8.07938e-06,-0.00148269,2.94439e-05
175.489000000,-5.6976e-05,-6.92363e-05,-0.00100775,8.08011e-06,-0.00148256,2.99668e-05
175.499000000,-5.82267e-05,-7.05641e-05,-0.00100774,8.08096e-06,-0.00148316,3.04919e-05
175.508000000,-5.95056e-05,-7.18919e-05,-0.00100772,8.08195e-06,-0.00148411,3.10199e-05
175.519000000,-6.08115e-05,-7.32196e-05,-0.0010077,8.08303e-06,-0.00148503,3.15502e-05
175.529000000,-6.2134e-05,-7.45473e-05,-0.00100769,8.08416e-06,-0.0014856,3.20816e-05
175.539000000,-6.34596e-05,-7.5875e-05,-0.00100769,8.08526e-06,-0.00148573,3.2613e-05
175.549000000,-6.4777e-05,-7.72026e-05,-0.00100769,8.0863e-06,-0.00148546,3.31433e-05
175.559000000,-6.60799e-05,-7.85302e-05,-0.0010077,8.08727e-06,-0.00148498,3.36722e-05
175.569000000,-6.73684e-05,-7.98579e-05,-0.00100771,8.08818e-06,-0.00148451,3.41998e-05
175.579000000,-6.86477e-05,-8.11856e-05,-0.00100772,8.08907e-06,-0.0014842,3.47268e-05
175.589000000,-6.99245e-05,-8.25133e-05,-0.00100772,8.08997e-06,-0.00148412,3.52538e-05
175.599000000,-7.12052e-05,-8.3841e-05,-0.00100772,8.09091e-06,-0.00148425,3.57814e-05
175.609000000,-7.24932e-05,-8.51688e-05,-0.00100771,8.09188e-06,-0.00148451,3.63097e-05
175.619000000,-7.37888e-05,-8.64965e-05,-0.00100771,8.09288e-06,-0.00148477,3.68388e-05
175.629000000,-7.50897e-05,-8.78242e-05,-0.0010077,8.09389e-06,-0.00148496,3.73682e-05
175.639000000,-7.63921e-05,-8.91519e-05,-0.0010077,8.0949e-06,-0.00148502,3.78977e-05
175.649000000,-7.76929e-05,-9.04796e-05,-0.0010077,8.0959e-06,-0.00148497,3.8427e-05
175.659000000,-7.899e-05,-9.18073e-05,-0.00100771,8.09687e-06,-0.00148486,3.89559e-05
175.669000000,-8.0283e-05,-9.3135e-05,-0.00100771,8.09783e-06,-0.00148473,3.94845e-05
175.679000000,-8.15732e-05,-9.44628e-05,-0.00100771,8.09878e-06,-0.00148464,4.00129e-05
175.689000000,-8.28623e-05,-9.57905e-05,-0.00100771,8.09973e-06,-0.00148461,4.05412e-05
175.699000000,-8.41522e-05,-9.71182e-05,-0.00100771,8.10069e-06,-0.00148464,4.10697e-05
175.709000000,-8.5444e-05,-9.8446e-05,-0.00100771,8.10166e-06,-0.00148471,4.15985e-05
175.719000000,-8.67378e-05,-9.97737e-05,-0.00100771,8.10264e-06,-0.00148479,4.21274e-05
175.729000000,-8.80332e-05,-0.000101101,-0.00100771,8.10362e-06,-0.00148485,4.26565e-05
175.739000000,-8.93293e-05,-0.000102429,-0.00100771,8.10461e-06,-0.00148488,4.31857e-05
175.749000000,-9.06251e-05,-0.000103757,-0.00100771,8.10559e-06,-0.00148488,4.37148e-05
175.758000000,-9.192e-05,-0.000105085,-0.00100771,8.10656e-06,-0.00148486,4.42438e-05
175.770000000,-9.32138e-05,-0.000106412,-0.00100771,8.10753e-06,-0.00148483,4.47728e-05
175.779000000,-9.45067e-05,-0.00010774,-0.00100771,8.1085e-06,-0.00148481,4.53017e-05
175.789000000,-9.57993e-05,-0.000109068,-0.00100771,8.10946e-06,-0.0014848,4.58306e-05
175.799000000,-9.70919e-05,-0.000110396,-0.00100771,8.11043e-06,-0.00148481,4.63596e-05
175.809000000,-9.8385e-05,-0.000111724,-0.00100771,8.1114e-06,-0.00148484,4.68886e-05
175.819000000,-9.96787e-05,-0.000113051,-0.00100771,8.11238e-06,-0.00148486,4.74177e-05
175.829000000,-0.000100973,-0.000114379,-0.00100771,8.11335e-06,-0.00148489,4.79469e-05
175.839000000,-0.000102267,-0.000115707,-0.00100771,8.11433e-06,-0.0014849,4.84761e-05
175.849000000,-0.000103562,-0.000117035,-0.00100771,8.1153e-06,-0.00148491,4.90053e-05
175.859000000,-0.000104856,-0.000118362,-0.00100771,8.11628e-06,-0.00148491,4.95346e-05
175.869000000,-0.00010615,-0.00011969,-0.00100771,8.11725e-06,-0.00148491,5.00638e-05
175.879000000,-0.000107443,-0.000121018,-0.00100771,8.11822e-06,-0.00148491,5.0593e-05
175.889000000,-0.000108737,-0.000122346,-0.00100771,8.11919e-06,-0.00148491,5.11222e-05
175.899000000,-0.00011003,-0.000123674,-0.00100771,8.12017e-06,-0.00148492,5.16515e-05
175.909000000,-0.000111324,-0.000125001,-0.00100771,8.12114e-06,-0.00148493,5.21808e-05
175.919000000,-0.000112618,-0.000126329,-0.00100771,8.12211e-06,-0.00148494,5.27102e-05
175.929000000,-0.000113911,-0.000127657,-0.00100771,8.12309e-06,-0.00148496,5.32395e-05
175.939000000,-0.000115205,-0.000128985,-0.00100771,8.12406e-06,-0.00148497,5.37689e-05
175.948000000,-0.000116499,-0.000130313,-0.00100771,8.12504e-06,-0.00148497,5.42984e-05
175.958000000,-0.000117793,-0.000131641,-0.00100771,8.12601e-06,-0.00148498,5.48278e-05
175.969000000,-0.000119087,-0.000132968,-0.00100771,8.12698e-06,-0.00148499,5.53573e-05
175.979000000,-0.000120381,-0.000134296,-0.00100771,8.12796e-06,-0.00148499,5.58867e-05
175.989000000,-0.000121675,-0.000135624,-0.00100771,8.12893e-06,-0.001485,5.64162e-05
175.999000000,-0.000122969,-0.000136952,-0.00100771,8.1299e-06,-0.00148501,5.69458e-05
176.009000000,-0.000124262,-0.00013828,-0.00100771,8.13088e-06,-0.00148501,5.74753e-05
176.018000000,-0.000125556,-0.000139608,-0.00100771,8.13185e-06,-0.00148502,5.80049e-05
176.029000000,-0.00012685,-0.000140935,-0.00100771,8.13282e-06,-0.00148503,5.85345e-05
176.039000000,-0.000128144,-0.000142263,-0.00100771,8.1338e-06,-0.00148504,5.90641e-05
176.049000000,-0.000129438,-0.000143591,-0.00100771,8.13477e-06,-0.00148505,5.95937e-05
176.059000000,-0.000130732,-0.000144919,-0.00100771,8.13575e-06,-0.00148506,6.01234e-05
176.069000000,-0.000132026,-0.000146247,-0.00100771,8.13672e-06,-0.00148506,6.06531e-05
176.079000000,-0.00013332,-0.000147575,-0.00100771,8.1377e-06,-0.00148507,6.11828e-05
176.089000000,-0.000134614,-0.000148903,-0.00100771,8.13867e-06,-0.00148508,6.17126e-05
176.099000000,-0.000135907,-0.00015023,-0.00100771,8.13964e-06,-0.00148509,6.22423e-05
176.108000000,-0.000137201,-0.000151558,-0.00100771,8.14062e-06,-0.00148509,6.27721e-05
176.119000000,-0.000138495,-0.000152886,-0.00100771,8.14159e-06,-0.0014851,6.33019e-05
176.129000000,-0.000139789,-0.000154214,-0.00100771,8.14257e-06,-0.00148511,6.38318e-05
176.139000000,-0.000141083,-0.000155542,-0.00100771,8.14354e-06,-0.00148512,6.43616e-05
176.149000000,-0.000142377,-0.00015687,-0.00100771,8.14452e-06,-0.00148513,6.48915e-05
176.159000000,-0.000143671,-0.000158198,-0.00100771,8.14549e-06,-0.00148513,6.54214e-05
