%time,field.x,field.y,field.z
18070000000,-2.00000133296,-0.499989336074,-0.00100739914402
18102000000,-2.00000132601,-0.499989316937,-0.00100739914403
18134000000,-2.00000131906,-0.499989297801,-0.00100739914404
18168000000,-2.00000131191,-0.499989278085,-0.00100739914404
18201000000,-2.00000130496,-0.499989258948,-0.00100739914405
18233000000,-2.00000129801,-0.499989239811,-0.00100739914406
18267000000,-2.00000129085,-0.499989220095,-0.00100739914407
18301000000,-2.0000012839,-0.499989200958,-0.00100739914407
18334000000,-2.00000127696,-0.499989181822,-0.00100739914408
18368000000,-2.0000012698,-0.499989162105,-0.00100739914409
18401000000,-2.00000126285,-0.499989142968,-0.0010073991441
18433000000,-2.0000012559,-0.499989123832,-0.0010073991441
18468000000,-2.00000124874,-0.499989104115,-0.00100739914411
18500000000,-2.0000012418,-0.499989084978,-0.00100739914412
18533000000,-2.00000123485,-0.499989065841,-0.00100739914413
18567000000,-2.00000122769,-0.499989046124,-0.00100739914413
18600000000,-2.00000122074,-0.499989026987,-0.00100739914414
18633000000,-2.0000012138,-0.49998900785,-0.00100739914415
18667000000,-2.00000120664,-0.499988988133,-0.00100739914416
18700000000,-2.00000119969,-0.499988968996,-0.00100739914416
18733000000,-2.00000119274,-0.499988949859,-0.00100739914417
18769000000,-2.00000118558,-0.499988930142,-0.00100739914418
18801000000,-2.00000117864,-0.499988911004,-0.00100739914419
18833000000,-2.00000117169,-0.499988891867,-0.00100739914419
18867000000,-2.00000116453,-0.49998887215,-0.0010073991442
18900000000,-2.00000115758,-0.499988853012,-0.00100739914421
18934000000,-2.00000115063,-0.499988833875,-0.00100739914422
18967000000,-2.00000114348,-0.499988814158,-0.00100739914423
19001000000,-2.00000113653,-0.49998879502,-0.00100739914423
19033000000,-2.00000112958,-0.499988775882,-0.00100739914424
19067000000,-2.00000112242,-0.499988756165,-0.00100739914425
19101000000,-2.00000111547,-0.499988737027,-0.00100739914426
19133000000,-2.00000110853,-0.49998871789,-0.00100739914426
19167000000,-2.00000110137,-0.499988698172,-0.00100739914427
19200000000,-2.00000109442,-0.499988679034,-0.00100739914428
19234000000,-2.00000108747,-0.499988659896,-0.00100739914429
19267000000,-2.00000108031,-0.499988640179,-0.00100739914429
19300000000,-2.00000107336,-0.499988621041,-0.0010073991443
