sep=, 
timestamp, positionX , positionY , positionZ , orientationX , orientationY , orientationZ 
0.670000000,-2.00001,-0.5,-0.0010074,-1.66312e-06,0.00158965,9.2806e-07
0.703000000,-2.00001,-0.499999,-0.0010074,-1.66322e-06,0.00158965,9.88084e-07
0.737000000,-2.00001,-0.499999,-0.0010074,-1.66333e-06,0.00158965,1.04993e-06
0.770000000,-2.00001,-0.499999,-0.0010074,-1.66343e-06,0.00158965,1.10995e-06
0.803000000,-2.00001,-0.499999,-0.0010074,-1.66353e-06,0.00158965,1.16998e-06
0.837000000,-2,-0.499999,-0.0010074,-1.66363e-06,0.00158965,1.23182e-06
0.870000000,-2,-0.499999,-0.0010074,-1.66373e-06,0.00158965,1.29185e-06
0.902000000,-2,-0.499999,-0.0010074,-1.66383e-06,0.00158965,1.35187e-06
0.937000000,-2,-0.499999,-0.0010074,-1.66393e-06,0.00158965,1.41372e-06
0.970000000,-2,-0.499999,-0.0010074,-1.66403e-06,0.00158965,1.47374e-06
1.003000000,-2,-0.499999,-0.0010074,-1.66413e-06,0.00158965,1.53377e-06
1.037000000,-2,-0.499999,-0.0010074,-1.66423e-06,0.00158965,1.59562e-06
1.070000000,-2,-0.499999,-0.0010074,-1.66433e-06,0.00158965,1.65564e-06
1.103000000,-2,-0.499999,-0.0010074,-1.66443e-06,0.00158965,1.71567e-06
1.137000000,-2,-0.499999,-0.0010074,-1.66453e-06,0.00158965,1.77752e-06
1.170000000,-2,-0.499999,-0.0010074,-1.66463e-06,0.00158965,1.83754e-06
1.203000000,-2,-0.499999,-0.0010074,-1.66472e-06,0.00158965,1.89757e-06
1.237000000,-2,-0.499999,-0.0010074,-1.66483e-06,0.00158965,1.95942e-06
1.270000000,-2,-0.499999,-0.0010074,-1.66492e-06,0.00158965,2.01944e-06
1.303000000,-2,-0.499999,-0.0010074,-1.66502e-06,0.00158965,2.07947e-06
1.337000000,-2,-0.499999,-0.0010074,-1.66512e-06,0.00158965,2.14132e-06
1.370000000,-2,-0.499999,-0.0010074,-1.66522e-06,0.00158965,2.20134e-06
1.403000000,-2,-0.499999,-0.0010074,-1.66531e-06,0.00158965,2.26137e-06
1.437000000,-2,-0.499999,-0.0010074,-1.66541e-06,0.00158965,2.32322e-06
1.470000000,-2,-0.499999,-0.0010074,-1.66551e-06,0.00158965,2.38325e-06
1.503000000,-2,-0.499999,-0.0010074,-1.66561e-06,0.00158965,2.44328e-06
1.537000000,-2,-0.499999,-0.0010074,-1.66571e-06,0.00158965,2.50512e-06
1.570000000,-2,-0.499999,-0.0010074,-1.6658e-06,0.00158965,2.56515e-06
1.603000000,-2,-0.499999,-0.0010074,-1.6659e-06,0.00158965,2.62518e-06
1.637000000,-2,-0.499999,-0.0010074,-1.666e-06,0.00158965,2.68703e-06
1.669000000,-2,-0.499999,-0.0010074,-1.6661e-06,0.00158965,2.74706e-06
1.703000000,-2,-0.499999,-0.0010074,-1.66619e-06,0.00158965,2.80709e-06
1.737000000,-2,-0.499999,-0.0010074,-1.66629e-06,0.00158965,2.86893e-06
1.770000000,-2,-0.499999,-0.0010074,-1.66639e-06,0.00158965,2.92896e-06
1.803000000,-2,-0.499999,-0.0010074,-1.66648e-06,0.00158965,2.98899e-06
1.837000000,-2,-0.499999,-0.0010074,-1.66658e-06,0.00158965,3.05084e-06
1.870000000,-2,-0.499999,-0.0010074,-1.66668e-06,0.00158965,3.11087e-06
1.903000000,-2,-0.499999,-0.0010074,-1.66677e-06,0.00158965,3.1709e-06
1.937000000,-2,-0.499999,-0.0010074,-1.66687e-06,0.00158965,3.23275e-06
1.970000000,-2,-0.499999,-0.0010074,-1.66697e-06,0.00158965,3.29278e-06
2.003000000,-2,-0.499999,-0.0010074,-1.66706e-06,0.00158965,3.35281e-06
2.037000000,-2,-0.499999,-0.0010074,-1.66716e-06,0.00158965,3.41466e-06
2.070000000,-2,-0.499999,-0.0010074,-1.66726e-06,0.00158965,3.47469e-06
2.103000000,-2,-0.499999,-0.0010074,-1.66736e-06,0.00158965,3.53472e-06
2.137000000,-2,-0.499999,-0.0010074,-1.66745e-06,0.00158965,3.59657e-06
2.170000000,-2,-0.499999,-0.0010074,-1.66755e-06,0.00158965,3.6566e-06
2.203000000,-2,-0.499999,-0.0010074,-1.66765e-06,0.00158965,3.71663e-06
2.237000000,-2,-0.499999,-0.0010074,-1.66774e-06,0.00158965,3.77848e-06
2.270000000,-2,-0.499999,-0.0010074,-1.66784e-06,0.00158965,3.83852e-06
2.303000000,-2,-0.499999,-0.0010074,-1.66794e-06,0.00158965,3.89855e-06
2.337000000,-2,-0.499999,-0.0010074,-1.66803e-06,0.00158965,3.9604e-06
