sep=, 
Destination: 0,0
timestamp, positionX , positionY , positionZ , orientationX , orientationY , orientationZ 
0.457000000,-2.00001,-0.5,-0.0010074,-1.66302e-06,0.00158965,8.68035e-07
0.489000000,-2.00001,-0.5,-0.0010074,-1.66312e-06,0.00158965,9.2806e-07
0.522000000,-2.00001,-0.499999,-0.0010074,-1.66322e-06,0.00158965,9.88084e-07
0.557000000,-2.00001,-0.499999,-0.0010074,-1.66333e-06,0.00158965,1.04993e-06
0.590000000,-2.00001,-0.499999,-0.0010074,-1.66343e-06,0.00158965,1.10995e-06
0.623000000,-2.00001,-0.499999,-0.0010074,-1.66353e-06,0.00158965,1.16998e-06
0.657000000,-2,-0.499999,-0.0010074,-1.66363e-06,0.00158965,1.23182e-06
0.690000000,-2,-0.499999,-0.0010074,-1.66373e-06,0.00158965,1.29185e-06
0.723000000,-2,-0.499999,-0.0010074,-1.66383e-06,0.00158965,1.35187e-06
0.757000000,-2,-0.499999,-0.0010074,-1.66393e-06,0.00158965,1.41372e-06
0.790000000,-2,-0.499999,-0.0010074,-1.66403e-06,0.00158965,1.47374e-06
0.823000000,-2,-0.499999,-0.0010074,-1.66413e-06,0.00158965,1.53377e-06
0.857000000,-2,-0.499999,-0.0010074,-1.66423e-06,0.00158965,1.59562e-06
0.890000000,-2,-0.499999,-0.0010074,-1.66433e-06,0.00158965,1.65564e-06
0.922000000,-2,-0.499999,-0.0010074,-1.66443e-06,0.00158965,1.71567e-06
0.957000000,-2,-0.499999,-0.0010074,-1.66453e-06,0.00158965,1.77752e-06
0.990000000,-2,-0.499999,-0.0010074,-1.66463e-06,0.00158965,1.83754e-06
1.023000000,-2,-0.499999,-0.0010074,-1.66472e-06,0.00158965,1.89757e-06
1.056000000,-2,-0.499999,-0.0010074,-1.66483e-06,0.00158965,1.95942e-06
1.090000000,-2,-0.499999,-0.0010074,-1.66492e-06,0.00158965,2.01944e-06
1.123000000,-2,-0.499999,-0.0010074,-1.66502e-06,0.00158965,2.07947e-06
1.157000000,-2,-0.499999,-0.0010074,-1.66512e-06,0.00158965,2.14132e-06
